transaction_id,land_id,old_owner,new_owner,land_price,document_hash,timestamp,is_fraud,fraud_type
8da01855-fdf0-4a7f-bb79-fa4e196e67ef,2112,User_477,User_263,3299317,3a4fac0315a20fd216cb7d485a9b1d21f34f8c6071589cc1c6fcd7c8ddef501a,2026-11-05T11:40:26.828412,0,normal
1c3c3b68-b528-4dbd-b38a-78c5a38ecf14,2448,User_36,User_139,3942926,d067c0fef653b7288a4532a99ff238063f2101a8722d6a72e26f3c4caee8ff48,2026-12-05T20:49:42.828412,0,normal
880e535b-2208-490d-b229-586654969ab9,1844,User_104,User_469,2765903,e9453c54eacf126ddaf57c571c000c8daf04ce251980dbcb16a2aaa8d2a451ac,2026-10-02T05:04:09.828412,1,rapid_transfer
abe2476b-de11-428e-86fd-8d5f2bcd04a7,1308,User_136,User_354,3714031,01c9762b2bb5efb96724d756b0d53361df93567521bdd5618e2913c3eb6aade8,2026-12-31T08:07:10.828412,0,normal
1a788cd5-9a59-41f4-89e1-ee4be9c6d706,1720,User_10,User_64,1101221,d4a053d0b50fc0bce8608b781b2c144b1d4ef4e69740967179270a000e09d0c2,2027-04-09T18:12:44.828412,0,normal
3f37ce81-3f56-4c0f-bc20-cdfc1a4b5307,1149,User_403,User_414,632756,92bd8cbbaa18f58e6cc314bb73894a218cc4f0a315c2bb2b404d4da5c9d16db0,2027-01-16T19:26:39.828412,0,normal
fe5b488f-a08d-4165-a7ff-ffbb881aed87,1478,User_13,User_406,2635727,2f2faeff1dfe0b398116507e2916217392962b2203a834629d5edb5fab363351,2026-09-11T09:54:59.828412,0,normal
10d02989-c4e6-4ef9-b603-e2c7810b1d75,2177,User_299,User_243,2855284,6117b461b0586728082ed58efebab810b75fd514a84b98277552b84be4e3df47,2027-02-02T16:13:42.828412,0,normal
f3dbcccd-29e5-42c9-9e53-bbde798b5fff,2004,User_281,User_42,405334,f0376777eea36adef3a209b96f0aff2f13d616e1008b935129bc41466d5ac3b9,2027-07-10T04:20:55.828412,0,normal
51b837de-57ec-4a7f-96c4-d599dafe12df,2702,User_213,User_353,2364203,a2db67199a738bbfddc72afc416488ccf7fde58e85ed6e4dec7163b6da7cdd26,2026-11-04T02:03:04.828412,0,normal
f0ca03e7-8cd3-4539-b005-be7a948be730,2269,User_434,User_358,3178057,d5790c13ca85f606b81290fa81bc905868665bdcc939ae0ab30c7e49c258e841,2027-01-23T19:11:04.828412,0,normal
b0e68017-c264-43f2-8322-d54c482038e6,2945,User_495,User_146,1215100,1b33eeb5d957c3e20c1d0d5c1a0590e4c329238aec094dd824774b82ddda100e,2026-12-08T16:16:44.828412,0,normal
ef0d846b-5171-4de9-8512-f37d9cee6e5f,2442,User_444,User_232,2064743,e730486d447cd15c2ba99108b7b862cbe729ad16a082ab1d7bce8a4428b9dcab,2026-12-13T10:35:21.828412,0,normal
e3024ac9-524c-4bcd-a545-c7cebf070554,1881,User_37,User_154,5452961,4bc8a6618e419552d1b4e920e0657d912c46b7a4c8d60202b0cc0ffddb0199b4,2026-12-27T12:33:56.828412,0,normal
34550bdd-c6e7-405f-bb0b-c8428b4af45a,1062,User_81,User_330,3535354,59cbbe32c38383061b20dc575218a4c2e4fde42d7a7343f809b9fd319f6e6267,2026-10-28T06:22:11.828412,0,normal
08549b95-5871-4f45-9573-18772ac1df46,1551,User_65,User_237,3309166,eab183951b32ac8592bf30e6508287eb631103b56e7af7d21afd6df92fe28581,2026-09-29T10:39:02.828412,0,normal
ab1894b9-9490-42ad-96eb-d73aeedbd2c3,2442,User_232,User_444,2154880,e730486d447cd15c2ba99108b7b862cbe729ad16a082ab1d7bce8a4428b9dcab,2026-09-29T21:34:59.828412,0,normal
22b823d9-f5e7-4269-9e80-59ee551e409e,2855,User_217,User_430,961456,460e26cbfe4c59fb9b0c339fcb0c10377d4f4b5d13028d7907324fa95e696497,2027-07-02T21:41:46.828412,0,normal
9295e561-f663-4cff-9c63-6998bdd2f206,2852,User_288,User_252,717109,f1d7bc2be4bc0ac457ae4393ed8df326c73c5c4d548809f81078269c5717684d,2026-09-27T15:55:50.828412,1,duplicate_land
c780e69f-01c7-4399-b49d-5f5c98c911ec,2109,User_481,User_417,3334878,0600fdbdcc889125fd5edd7830513d82e47e7499c0c7b441202ccceb075b43bf,2027-07-03T13:53:14.828412,1,duplicate_land
7a0fea54-86ea-42d5-8c33-272d541ac295,2172,User_77,User_87,2917371,ec959a5c6673344e4847406fa42526439dc7b828ca0bce82f6d8b1e0e7db9cd4,2026-09-05T16:44:18.828412,0,normal
af0c1543-f88a-468e-8575-87c8fa3e4927,1145,User_382,User_9,2854454,98efabd4836a33138c935f390ddbed533c655dd5fd1dc9584fcb6fb3e65a8bea,2027-01-18T19:07:46.828412,1,duplicate_document
78d58798-23ed-402f-9daa-5845f68ad583,2955,User_488,User_49,274764,aa04c73517d204b2f2750e220aab6a2ed3736ac7c58fc8292e015596124558b1,2027-03-22T23:33:59.828412,0,normal
8394c58f-2ca8-4fb1-a0bf-15173c951ac7,2090,User_302,User_201,2532567,b40e70884865849d3ab80dd1f98a1188feec0c6ed946952accc4f9cece92763b,2027-01-11T05:44:38.828412,0,normal
fa223d6d-0980-4637-b634-5f58c88ac528,2741,User_137,User_471,1590727,f38d7a493da6e2285653047fd2bbca2680436b82ff4b593b45e9e3a9cbd103df,2027-01-27T04:07:36.828412,0,normal
61d522db-0c32-41b0-b93c-7d1a77cd1a03,1585,User_483,User_121,21077121,de6ecc53b7a077834ae67f712988043ad118511114baa0284adff38aa5338ef3,2027-01-29T06:40:12.828412,1,abnormal_price
49b6db87-18c6-4889-8fae-062ab53dd5ed,1478,User_406,User_275,2606558,2f2faeff1dfe0b398116507e2916217392962b2203a834629d5edb5fab363351,2026-11-30T20:18:27.828412,0,normal
a9a4ec9e-5296-408f-818d-9f1c497be3ba,2115,User_131,User_341,500200,8dc12f92a4564c0f7785b796d8a2838a8c21dd75537bc08a4c889aff0dfc4180,2027-07-29T08:22:59.828412,0,normal
046aa532-4619-4766-8d2f-4b36887f7e66,1897,User_40,User_265,1191443,df88fd634ac174f52a4b193c9a9519cfaf589131f117d863ce75fce6c7116944,2027-05-20T09:33:19.828412,0,normal
8e138758-67bb-433d-8f6a-317ee3da3ba2,1677,User_120,User_56,2593624,47781338768694202f06d485da5d2a36d72c58757ca7178c3bb841137e5cc91b,2026-12-04T03:43:23.828412,0,normal
7d61e8e3-3227-4ece-aea4-91ffe146965a,1460,User_357,User_23,5330639,29dce9b1ba4fb46edaddd4c3dcfd0166566f02d8878fcd882917108f6c2f88d1,2026-10-17T10:46:40.828412,0,normal
62b19509-ad7b-408a-832a-f3d8171d8d9e,2181,User_393,User_463,3968774,8644d5544086d33853708170a8e5bc3f0b2e138191aa549977cd163e06225ab1,2027-04-28T22:21:15.828412,0,normal
3b6ba8b0-3a15-4176-94c0-caaf9430c320,1094,User_99,User_7,461909,c8722f81e187b1b4d18f7389db8ab996b91012b95e65be91b215feb9d7222b6e,2027-05-14T03:21:37.828412,0,normal
78708952-6d32-4c9e-97cf-590d5e7a2b9c,2868,User_441,User_175,3285564,08a53a6206c15520432de11b3479c866da4c0603919012d6a1b632a6c19a428f,2027-08-03T19:54:16.828412,0,normal
5a91b3e7-7326-4f25-a906-98c883dcc60c,2981,User_384,User_468,1072456,6d7a47394a6004a11777048edb7b14915aa72b73ca6ae9054ce3d02ee6971c03,2026-11-18T22:25:39.828412,0,normal
c08ed72c-59c0-48b2-8831-d5b4b9823d39,2174,User_336,User_226,295720,d71ab9ddfc826fccdeb238951fbfddbb027ed983a28c85d688c9a1b2ee73e347,2027-02-28T18:40:10.828412,0,normal
f935a7a3-44bf-4349-ac4a-be80338185ae,2781,User_438,User_339,784429,dd48f00d90e05bca9ec18a2b46f97b09b21d9dff21f9d91bdd212c0101767d10,2027-07-02T05:16:26.828412,0,normal
cce74f77-f4e9-4af0-afb0-580bc052fd02,1060,User_120,User_346,3486907,961f62ab5014b7871291dc2a173717773a3a63e7bcb0eb6e400d8417cc7cd32c,2026-11-24T21:54:33.828412,0,normal
6c57e571-8135-42bf-9ede-0e7688046e82,2458,User_458,User_43,797364,f250939f4d3f2fc9f96a011afab7d49cefcfcae256b809acbd50a3d4bc7da3a5,2026-10-20T19:03:54.828412,0,normal
da299de3-314b-4127-bca3-89050a5b0ff9,1999,User_475,User_499,3846947,9a6d865948e515d6de5bf9212ab83c1302bd81ec4b90ada0b83e9e745c262619,2026-11-13T04:27:47.828412,0,normal
e6ce23c3-300b-4e62-ab89-1265dbe67698,1503,User_377,User_48,2703160,5178b8ae1046ebbcf1bb8a541286b015639846a030e0e6c76c5a88da74024fbb,2027-02-04T01:33:01.828412,0,normal
dda72e37-1db5-47f7-a3d2-67a5611ea07c,2834,User_474,User_252,4783210,9a11c0b63d665f547eeb031bfb77382b5e30ad6fbffade35422be8dfd91142ef,2027-02-01T17:08:29.828412,0,normal
